Family;Type
Benedetti;Both
Coppo;Both
Sanudo;Both
Fradello;Both
Marin;Both
Gritti;Both
Veglia;Both
de Protis;Both
Alberto;Both
Barbo;Both
Boninsegna;Both
Gradenigo;Both
Tiepolo;Both
Michiel;Both
Guido;Both
Baseggio;Both
Trevisan;Both
Fel;Both
Morosini;Both
Bembo;Both
Longo;Both
Falier;Both
Moro;Both
Querini;Both
Venier;Both
Semitecolo;Both
Pentulo;Both
Curtolo;Both
Marano;Both
Foscolo;Both
Tron;Both
Rosso;Both
Da Molin;Both
Ghisi;Both
Soranzo;Both
Businago;Both
Minio;Both
Belegno;Both
Foscarini;Both
Badoer;Both
Barbarigo;Both
Gussoni;Both
Corner;Both
Urso;Both
Da Mula;Both
Barastro;Both
Grioni;Both
Bon;Both
Viaro;Both
Staniario;Both
Canal;Both
Contarini;Both
Zantani;Both