Name,Contracts,Type
"Adamo Balbi",1,stans
"Agnese Dalla Scala",3,stans
"Agnese Gradenigo",1,stans
"Agnese Soranzo",1,stans
"Agnese Venier",1,stans
"Ambrogio Roberto",1,stans
"Andrea Benedetti",1,tractor
"Andrea Brizi",4,stans
"Andrea Da Molin",1,tractor
"Andrea Donato",1,stans
"Andrea Marcello",1,stans
"Andrea Michiel",1,stans
"Andrea Morono",1,stans
"Andrea Pentulo",1,tractor
"Andrea Sanudo",1,stans
"Andrea Soranzo",3,tractor
"Andrea Tomato",2,stans
"Andriolo Baseggio",1,stans
"Andriolo Da Molin",1,tractor
"Andriolo Trevisan",1,stans
"Angelo & Tommaso Michiel",2,stans
"Angelo Abriano",1,stans
"Angelo Barastro",1,stans
"Angelo Contarini",1,stans
"Angelo Da Molin",1,tractor
"Angelo Marangon",1,tractor
"Angelo Semitecolo",2,stans
"Angelo Vidal",2,tractor
"Angelo de Albrigeto",2,tractor
"Antolino Curtolo",3,tractor→stans
"Antonio Alberto",2,tractor
"Antonio Caravello",1,stans
"Antonio Pigozo",3,tractor
"Antonio Squaglia",1,tractor
"Aurei Mastropetro",1,stans
"Auria Gradenigo",1,stans
"Bartolomeo Barozzi",1,stans
"Bartolomeo Bembo",2,stans
"Bartolomeo Canal",1,stans
"Bartolomeo Faccio",1,tractor
"Bartolomeo Groscalco",1,stans
"Bartolomeo Spoletino",1,tractor
"Bartolomeo Zulian",1,tractor
"Bartolomeo di Fioravante",1,tractor
"Bartolotta Nicola",1,stans
"Belletto Barbo",1,tractor
"Bellino Lando",1,stans
"Benedetto Da Molin",1,stans
"Benedetto Trevisan",1,stans
"Beria Contarini",1,stans
"Berno Trevisan",1,tractor
"Berta Morosini",1,stans
"Bertaldino Trevisan",1,tractor
"Biagio Malipiero",5,tractor
"Blasio Baseggio",1,tractor
"Blasio Bredani",1,stans
"Bogodano Veglia",1,tractor
"Bonardito Fiorentino",1,stans
"Bratholo Agadi",1,stans
"Casota Agadi",1,stans
"Catarina Dalla Fontana",1,stans
"Caterina Arimondo",2,stans
"Cecilia Giustinian",2,stans
"Cecilia Michiel",1,stans
"Cipriano Mangoni",1,stans
"Cipriano Manguni",1,stans
"Clemenazo Rosso",1,tractor
"Clemente Bonizzo",1,stans
"Colomanno Bembo",1,stans
"Constanza Barbetta",2,stans
"Constanza Semitecolo",1,stans
"Corrado Duracino",1,tractor
"Corrado Rozeri",1,stans
"Costanza Benedetti",1,stans
"Costanza Zorzi",1,stans
"Damiano Bozolino",1,tractor
"Dardi Babilonio",1,stans
"Dimitri Foscarini",1,tractor
"Domenico Ardizon",1,stans
"Domenico Arduini",3,stans
"Domenico Bilongo",1,tractor
"Domenico Bollani",1,stans
"Domenico Centocori",1,stans
"Domenico Coppo",1,stans
"Domenico Corner",4,tractor
"Domenico D'Avanzago",1,tractor
"Domenico Emo",1,tractor
"Domenico Giacobbe",1,tractor
"Domenico Gradenigo",30,tractor
"Domenico Grimani",1,stans
"Domenico Grioni",1,stans
"Domenico Lion",1,stans
"Domenico Maciacavallo",1,stans
"Domenico Mastroscoli",2,tractor
"Domenico Michiel",1,stans
"Domenico Morosini",1,tractor
"Domenico Orio",1,tractor
"Domenico Venier",2,tractor
"Domenico Villari",1,stans
"Domenico di Albiola",1,tractor
"Domenzi Lion",1,stans
"Dominico de Iema",1,tractor
"Donato Civran",1,stans
"Donato Fradello",1,stans
"Donato Grioni",1,tractor
"Donato Pagan",1,tractor
"Emia Giustinian",2,stans
"Enrico Contarini",1,tractor
"Enrico Morosini",1,stans
"Enrico Straccivendolo",1,tractor
"Fantino Da Molin",1,tractor
"Felice Venier",1,tractor
"Feloto Centosoldi",1,stans
"Filippa Querini",1,stans
"Filippo Barbarigo",14,tractor
"Filippo Belegno",1,stans
"Filippo Boccazo",1,stans
"Filippo Corner",2,stans
"Filippo Donato",2,stans
"Filippo Grimani",1,stans
"Filippo Guido",1,stans
"Filippo Iantani",1,stans
"Filippo Marcello",2,stans
"Filippo Orio",2,tractor
"Filippo Sanudo",1,stans
"Filippo Venier",1,tractor
"Filippo Viaro",1,stans
"Filippo Zantani",1,tractor
"Filippo Zulian",1,tractor
"Filippo d'Albiola",1,tractor
"Filocardina Gramentuni",1,stans
"Filocaro Calbo",1,tractor
"Fiordaliso Gradenigo",2,stans
"Fiorentino Mosto",1,stans
"Floriano Trevisan",2,tractor
"Foscari Malaza",1,stans
"Francesca Morosini",1,stans
"Francesco Foscolo",1,stans
"Francesco Morosini",2,tractor
"Francesco Viaro",4,tractor
"Frusina Pentulo",1,stans
"Gabriele Barbarigo",1,tractor
"Gabriele Marioni",9,stans
"Gabriele Trevisan",8,tractor
"Gerardo Miani",1,tractor
"Gerardo Trevisan",1,tractor
"Gerardo Vitturi",1,tractor
"Geremia Bonoto",1,tractor
"Gervasio Grego",1,stans
"Giacomello Tiepolo",5,tractor
"Giacomina Iantani",1,stans
"Giacomina Zantani",1,stans
"Giacomo Albizzo",1,stans
"Giacomo Arimondo",1,stans
"Giacomo Barastro",1,tractor
"Giacomo Baseggio",1,stans
"Giacomo Bembo",1,tractor
"Giacomo Boninsegna",1,stans
"Giacomo Bredani",1,stans
"Giacomo Contarini",1,stans
"Giacomo Coppo",1,tractor
"Giacomo Falier",1,tractor
"Giacomo Fel",1,tractor
"Giacomo Francesco",1,tractor
"Giacomo Guido",1,tractor
"Giacomo Mocenigo",1,stans
"Giacomo Seio",1,stans
"Giacomo Tiepolo",3,tractor
"Giacomo Venier",1,tractor
"Giacomo Zordani",3,stans
"Giamoco Muazzo",1,stans
"Giocomo Muazzo",1,stans
"Giovani Badoer",1,stans
"Giovanni Acotanto",2,tractor
"Giovanni Agadi",1,stans
"Giovanni Albino",2,stans
"Giovanni Anastasio",1,tractor
"Giovanni Badoer",3,stans
"Giovanni Baro",1,tractor
"Giovanni Bianco",1,tractor
"Giovanni Biondo",2,tractor
"Giovanni Boccazo",2,stans
"Giovanni Bonaldi",1,tractor
"Giovanni Canal",1,stans
"Giovanni Contarini",1,stans
"Giovanni Corner",8,tractor
"Giovanni Dalla Fontana",2,stans
"Giovanni Dandolo",1,stans
"Giovanni Emo",4,tractor
"Giovanni Fradello",1,tractor
"Giovanni Giustinian",2,stans
"Giovanni Grasso",1,stans
"Giovanni Lissado da Luprio",1,tractor
"Giovanni Longo",1,tractor
"Giovanni Marano",1,tractor
"Giovanni Michiel",2,tractor
"Giovanni Moro",1,tractor
"Giovanni Morosini",2,tractor
"Giovanni Nadal",2,stans
"Giovanni Navigroso",1,stans
"Giovanni Nicola",1,stans
"Giovanni Pagan",1,tractor
"Giovanni Pergaminer",1,tractor
"Giovanni Querini",1,tractor
"Giovanni Russo",2,tractor
"Giovanni Rustico",1,stans
"Giovanni Savoner",1,stans
"Giovanni Sceda",1,tractor
"Giovanni Senadori",1,stans
"Giovanni Soranzo",3,tractor→stans
"Giovanni Tiepolo",2,tractor
"Giovanni Trevisan",1,tractor
"Giovanni Zeno",1,stans
"Giovanni Zulian",1,tractor
"Giovanni dei Boccoli",1,stans
"Giovanni, Domenico & Bartolomeo Marin",1,stans
"Giovannino Morosini",1,stans
"Giovannino Sanudo",7,tractor
"Giovannino Tiepolo",2,stans
"Giovannino da Trau",1,stans
"Girardo Albizzo",1,stans
"Gisio Da Fano",1,tractor
"Goffredo Morosini",2,tractor
"Gotello Vidal",1,tractor
"Grandonio di Troia",1,stans
"Graton Dandolo",1,stans
"Gratone Dandolo",1,stans
"Guidota Zorzi",1,stans
"Guidotto Gritti",1,tractor
"Iacopo Venier",1,tractor
"Imperatrice Michiel",1,stans
"Lazzaro Mercadante",9,stans
"Lazzaro Scutario",1,stans
"Leonardo Boccazo",1,stans
"Leonardo Bosio",3,stans
"Leonardo Donato",1,stans
"Leonardo Lanfranchi",1,tractor
"Leonardo Minio",3,tractor→stans
"Leonardo Venier",1,tractor
"Leonardo Villano",1,stans
"Leone Copula",2,stans
"Leone Corner",1,stans
"Lipefina Manolesso",1,stans
"Lombardo Bon",1,stans
"Lucia de Protis",1,stans
"Maddalena Pesaro",1,stans
"Marchese Veronese",1,stans
"Marchesina Da Molin",1,stans
"Marchisino di Loreo",1,stans
"Marco & Giovaninno de Protis",2,tractor
"Marco Belegno",2,tractor
"Marco Caravello",1,stans
"Marco Cavalerio",1,stans
"Marco Corner",2,stans
"Marco Da Molin",3,tractor
"Marco Dolce",1,stans
"Marco Donato",1,stans
"Marco Giustinian",7,stans
"Marco Longo",1,tractor
"Marco Loredan",1,tractor
"Marco Marin",1,tractor
"Marco Marioni",1,stans
"Marco Martinazo",1,tractor
"Marco Michiel",3,stans→tractor
"Marco Morosini",8,stans→stans
"Marco Pizolo",1,tractor
"Marco Romani",2,tractor
"Marco Seio",2,stans
"Marco Semitecolo",1,tractor
"Marco Signolo",1,tractor
"Marco Simone",1,tractor
"Marco Soranzo",1,tractor
"Marco Spatario",1,stans
"Marco Tiepolo",2,stans
"Marco Tolonegi",1,stans
"Marco Urso",1,tractor
"Marco Valaresso",1,stans
"Marco de Stolla",1,stans
"Marco di Artico",1,stans
"Margarito D'Equilo",1,tractor
"Margarito Giacomo",11,tractor
"Maria Soranzo",1,stans
"Maria Tagliapietra",1,stans
"Maria Zeno",1,stans
"Maria Ziani",3,stans
"Maria Zusto",2,stans
"Marinello Badoer",5,tractor
"Marino Badoer",5,stans
"Marino Bellono",1,stans
"Marino Businago",2,stans→tractor
"Marino Canal",1,tractor
"Marino Dauro",1,stans
"Marino De Laurentio",1,stans
"Marino Ghisi",2,stans→tractor
"Marino Marcello",1,stans
"Marino Michiel",1,tractor
"Marino Moro",2,stans
"Marino Morosini",5,tractor
"Marino Premarin",1,stans
"Marino Rosso",1,stans
"Marino Soranzo",1,stans
"Marino Spatario",1,stans
"Marino da Tumba",1,stans
"Martino Messeta",1,stans
"Martino Miani",2,tractor
"Martino Speziale",1,stans
"Marziale Banzon",1,tractor
"Matteo Barbarigo",1,tractor
"Matteo Barbo",1,stans
"Matteo Flabiano",1,tractor
"Matteo Marzolo",6,stans
"Matteo Marzulo",2,stans
"Matteo Simitecolo",1,tractor
"Matteo d'Ancontano",2,tractor
"Matteo de Manzolo",2,tractor
"Matteo de Protis",2,tractor
"Matteo di Federico",1,stans
"Michele Canal",1,stans
"Michele Contarini",4,tractor→stans
"Michele Emo",9,tractor
"Michele Grego",1,stans
"Michele Semitecolo",2,stans
"Michele Soranzo",1,stans
"Mirabello Boninsegna",1,tractor
"Mliziana Fel",1,stans
"Nascimbene Mussolino",1,tractor
"Natale Polini",1,stans
"Natale Staniario",1,tractor
"Nicola Agadi",1,stans
"Nicola Arimondo",3,stans
"Nicola Badoer",1,tractor
"Nicola Caravello",3,stans
"Nicola Dalle Sevole",4,stans
"Nicola Emo",1,tractor
"Nicola Miani",2,tractor
"Nicola Mozo",1,tractor
"Nicola Sirano",1,tractor
"Nicola Soranzo",1,stans
"Nicola di donna Maria",1,stans
"Nicoletto Boldu",1,tractor
"Nicolotta Michiel",1,stans
"Nicolò Morosini",1,stans
"Obizo Speziale",1,stans
"Odorico Belli",4,tractor
"Omobono Barastro",2,stans
"Omobono Barbo",9,tractor
"Oria Gradenigo",1,stans
"Orio Barbarigo",1,stans
"Orio Casolo",1,stans
"Orio Navigroso",1,stans
"Orseola Mocenigo",1,stans
"Ota Zorzi",1,stans
"Ottone Falier",1,tractor
"Ottonello Barberius",1,stans
"Palma Navager",1,stans
"Palmero Zane",1,stans
"Pangrazio Capello",1,stans
"Pangrazio Michiel",1,stans
"Pangrazio Pasqualigo",1,tractor
"Pantaleone Giustinian",1,stans
"Paolo Da Molin",1,stans
"Paolo Foscarini",1,stans
"Paolo Navigroso",1,stans
"Pasquale Muazzo",1,stans
"Pietro Addoldo",1,stans
"Pietro Agadi",1,stans
"Pietro Alberto",2,stans
"Pietro Avenanzo",1,stans
"Pietro Barbani",1,stans
"Pietro Batello",1,tractor
"Pietro Bembo",1,stans
"Pietro Boccazo",1,stans
"Pietro Cazzamonti",1,stans
"Pietro Corner",2,tractor→stans
"Pietro Da Molin",4,tractor→stans
"Pietro Da Mula",3,stans
"Pietro Darpin",1,stans
"Pietro Dolfin",1,stans
"Pietro Falier",4,tractor→stans
"Pietro Foscolo",1,tractor
"Pietro Ghisi",1,stans
"Pietro Gradenigo",2,stans
"Pietro Gussoni",2,tractor
"Pietro Istrigo",1,stans
"Pietro Longo",1,stans
"Pietro Michiel",1,stans
"Pietro Morosini",2,tractor
"Pietro Nani",1,stans
"Pietro Premarin",1,stans
"Pietro Querini",1,stans
"Pietro Sagredo",2,tractor
"Pietro Soranzo",1,stans
"Pietro Storladi",2,stans
"Pietro Tiepolo",2,tractor
"Pietro Tonisti",1,tractor
"Pietro Trevisan",6,stans
"Pietro Venier",2,stans
"Pietro Viaro",5,stans→tractor
"Pietro Vitaliano",1,tractor
"Pietro Ziani",3,stans
"Pietro Zorzi",1,stans
"Pietro da Ferraguto",2,tractor
"Pietro da Vicenza",1,tractor
"Pietro di Guazo",1,stans
"Pietro, & Simeone Signolo",1,tractor
"Prodano Da Mula",1,tractor
"Prodano Dandolo",1,stans
"Profeta Da Molin",1,stans
"Protasio Venier",1,stans
"Radovan Rachovich",1,tractor
"Ratolica Giustinian",1,stans
"Redolica Gradenigo",1,stans
"Rinaldo Longo",3,tractor
"Rinaldo Rosso",1,stans
"Rinaldo de Ranerio",1,stans
"Riniero Trevisan",1,tractor
"Ripaldo Morosini",1,stans
"Rodolfo de Stolla",1,stans
"Rodolfo de Suligo",15,tractor
"Romano Marano",6,tractor→stans
"Samuele Marano",1,tractor
"Santuccio Marin",1,stans
"Sebastiano Ragusio",1,tractor
"Sevasto Orefice",1,stans
"Sidiana Marin",1,stans
"Silvestro Tebaldo",1,stans
"Simeone Bredani",1,stans
"Simone Veglia",1,stans
"Simone di Burges",1,tractor
"Sofia Ghisi",1,stans
"Sparvere Canal",1,stans
"Stadio Venier",1,stans
"Stefano Bendolo",1,tractor
"Stefano Calbo",1,tractor
"Stefano Encio",1,stans
"Stefano Mazaman",1,stans
"Stefano Venier",2,tractor
"Stefano di Bruges",1,tractor
"Tibaldino de Galletto",1,stans
"Tomasso Faccio",2,tractor
"Tommasina Gradenigo",1,stans
"Tommasino Giustinian",1,stans
"Tommaso Bon",2,tractor
"Tommaso Falier",3,tractor
"Tommaso Gradenigo",2,stans
"Tommaso Marin",1,tractor
"Tommaso Tron",1,tractor
"Tommaso Viaro",19,tractor
"Tommaso Zopolo",1,tractor
"Ugo Urso",1,stans
"Ugolino Bocca d'Uomo",1,tractor
"Ugolino Lombardo",1,tractor
"Ugolino Ruzier",1,tractor
"Valperto Gussoni",1,stans
"Vettore Trevisan",1,tractor
"Vitale Gritti",1,stans
"Vitale Mastrorso",1,stans
"Vitale Voltani",4,stans
"Viticlino Bon",1,tractor
"Vito Bon",1,stans
"Vito Canal",1,stans
"Vivaldo da Mantova",1,stans
"Viviano Da Molin",2,tractor
"Viviano Miani",1,tractor
"Zaccaria Nani",1,stans
"Zaccaria Staniario",6,tractor→tractor
"Zambonino de Rodanis da Cremona",1,stans
"Zanino Morosini",3,tractor→stans
"Ziani Badoer",1,stans
"Zorzi Balestrieri",1,stans
"Zorzi Katarino",1,tractor
"wife of tractor Tron",1,stans
